"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
10,0,290,10,4
0,0,290,10,4
0,0,290,10,6
0,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,280,10,4
0,0,280,10,4
0,0,280,10,4
0,0,290,10,2
0,0.1,290,10,4
10,0,280,10,4
20,0,280,10,4
20,0,280,10,4
20,0,280,10,4
0,0,290,10,4
0,0,290,10,4
10,0,290,10,2
20,0,300,10,4
10,0,310,10,2
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,4
0,0,290,10,4
10,0,290,10,4
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,280,10,6
0,0,280,10,6
10,0.1,280,10,6
10,0.1,280,10,6
10,0,290,10,4
10,0,290,10,4
20,0,280,10,6
0,0,280,10,6
10,0,290,10,6
0,0,290,10,6
40,0,300,10,0
20,0,300,10,0
10,0,310,10,0
0,0.1,310,10,2
0,0,290,10,2
0,0,290,10,2
0,0.1,290,10,4
0,0,280,10,4
0,0,290,10,4
0,0,310,10,2
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
0,0,290,10,4
0,0,290,10,4
0,0,300,10,2
0,0.1,300,10,0
10,0,290,10,4
10,0,290,10,4
0,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,6
10,0,290,10,4
0,0,300,10,4
10,0,300,10,4
30,0,300,10,4
30,0,300,10,4
30,0,300,10,4
0,0,290,10,4
0,0,290,10,4
20,0,300,10,2
80,0.1,300,10,4
0,0,310,0,2
10,0.2,300,10,4
10,0.2,300,10,4
60,0.1,300,10,4
60,0.1,300,10,4
60,0.1,300,10,4
60,0.1,300,10,4
60,0.1,300,10,4
30,0.1,300,10,4
30,0.1,300,10,4
100,0.1,300,10,4
100,0.1,300,10,4
100,0.1,300,10,4
20,0,300,10,4
20,0,310,0,4
10,0.2,300,10,4
10,0.2,300,10,4
10,0.2,300,10,4
40,0.1,300,10,4
40,0.1,300,10,4
10,0,310,10,2
40,0,300,10,2
40,0,300,10,2
30,0.1,300,10,2
260,0.1,300,10,2
260,0.1,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
30,0,300,10,2
30,0,300,10,2
10,0,320,0,0
30,0,310,0,2
0,0,340,10,0
0,0,340,10,0
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,4
10,0,290,10,4
10,0,290,10,2
10,0,300,10,2
10,0,300,10,2
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
10,0.1,300,10,4
0,0,300,10,0
10,0.1,280,10,6
10,0.1,310,10,2
10,0.1,310,10,2
10,0,300,10,0
0,0.1,300,10,0
0,0,290,10,4
0,0,290,10,4
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
0,0,280,10,6
0,0,290,10,6
0,0,280,10,4
10,0,290,10,4
10,0,290,10,4
0,0,280,10,6
0,0,280,10,6
0,0,290,10,4
0,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,2
0,0,290,10,2
10,0,290,10,4
0,0,280,10,4
10,0.1,290,10,4
10,0.1,300,10,2
10,0,290,10,2
10,0,290,10,2
10,0,310,10,2
20,0,310,10,0
20,0,310,10,0
10,0,310,10,0
10,0,300,10,4
10,0,310,0,2
30,0,300,10,0
30,0,300,10,0
10,0,300,10,2
10,0,300,10,2
60,0.1,300,0,6
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,290,10,6
0,0,300,10,2
10,0,290,10,2
0,0,290,10,4
0,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,280,10,6
